time,Phi,dPhi_dt,Energy,Fragmentation,Ricci,Betti1,PermEntropy
438.0,0.237,0.258,1.831,1.35,-5.233,7.0,0.58
440.0,0.232,-0.112,7.389,7.64,-4.904,13.0,0.59
442.0,0.227,-0.095,7.389,6.36,-4.135,11.0,0.6
444.0,0.223,-0.081,7.389,6.22,-2.124,9.0,0.63
446.0,0.246,0.452,0.943,-0.79,-3.934,4.0,0.67
448.0,0.241,-0.098,6.326,5.01,-1.181,7.0,0.66
450.0,0.235,-0.122,7.389,13.59,-0.651,15.0,0.65
452.0,0.229,-0.104,7.389,10.14,-1.093,12.0,0.65
454.0,0.225,-0.088,7.389,9.51,-0.785,11.0,0.64
456.0,0.223,-0.04,6.359,4.97,-3.317,9.0,0.64
458.0,0.219,-0.069,7.389,10.3,-0.961,12.0,0.65
460.0,0.217,-0.058,7.389,7.96,-1.313,10.0,0.65
462.0,0.214,-0.05,7.389,11.32,-0.075,12.0,0.62
464.0,0.212,-0.042,7.389,10.44,0.086,11.0,0.63
466.0,0.21,-0.036,7.389,9.41,0.092,10.0,0.64
468.0,0.209,-0.031,7.389,14.27,0.945,14.0,0.64
470.0,0.207,-0.026,7.389,12.54,-0.812,14.0,0.63
472.0,0.206,-0.022,7.389,11.34,-1.015,13.0,0.63
474.0,0.205,-0.019,7.389,10.33,-0.992,12.0,0.64
476.0,0.205,-0.016,7.389,11.4,0.992,11.0,0.62
478.0,0.204,-0.014,7.389,12.37,-0.025,13.0,0.62
480.0,0.203,-0.011,7.389,8.28,-2.083,11.0,0.63
482.0,0.203,-0.009,7.389,5.35,-3.005,9.0,0.63
484.0,0.202,-0.008,7.389,9.98,-1.375,12.0,0.63
486.0,0.202,-0.007,7.389,8.33,-1.051,10.0,0.62
488.0,0.202,-0.006,7.389,7.45,-0.001,8.0,0.61
490.0,0.201,-0.005,7.389,6.22,-0.139,7.0,0.63
492.0,0.201,-0.004,7.389,4.89,-3.472,9.0,0.63
494.0,0.201,-0.004,7.389,6.15,-3.263,10.0,0.62
496.0,0.201,-0.003,7.389,6.41,-3.167,10.0,0.59
498.0,0.201,-0.003,7.389,12.67,0.092,13.0,0.58
500.0,0.201,-0.002,7.389,11.43,-0.063,12.0,0.6
502.0,0.201,-0.002,7.389,8.4,-1.023,10.0,0.62
504.0,0.201,-0.001,7.389,5.8,-2.62,9.0,0.62
506.0,0.204,0.069,5.226,4.63,-4.789,10.0,0.62
508.0,0.203,-0.012,7.389,7.91,-1.605,10.0,0.6
510.0,0.203,-0.01,7.389,13.96,-1.579,16.0,0.59
512.0,0.202,-0.009,7.389,8.42,0.966,8.0,0.61
514.0,0.202,-0.007,7.389,11.29,0.893,11.0,0.62
516.0,0.202,-0.006,7.389,14.21,0.75,14.0,0.61
518.0,0.201,-0.005,7.389,12.33,0.751,12.0,0.58
520.0,0.201,-0.004,7.389,8.66,-4.902,14.0,0.59
522.0,0.201,-0.004,7.389,12.09,-4.447,17.0,0.59
524.0,0.201,0.006,7.062,5.58,-0.923,7.0,0.6
526.0,0.201,-0.004,7.389,6.9,-2.49,10.0,0.62
528.0,0.201,-0.004,7.389,11.82,-1.577,14.0,0.62
530.0,0.205,0.074,5.056,4.6,-0.772,6.0,0.63
532.0,0.204,-0.014,7.389,8.5,1.109,8.0,0.62
534.0,0.203,-0.012,7.389,14.41,-0.035,15.0,0.61
536.0,0.203,-0.01,7.389,14.44,2.0,13.0,0.61
538.0,0.202,-0.009,7.389,11.58,-0.893,13.0,0.61
540.0,0.202,-0.007,7.389,7.57,-1.91,10.0,0.6
542.0,0.202,-0.006,7.389,6.89,-0.598,8.0,0.6
544.0,0.202,-0.005,7.389,6.58,-0.864,8.0,0.61
546.0,0.203,0.025,6.386,5.21,-2.304,8.0,0.6
548.0,0.202,-0.008,7.389,9.75,-0.77,11.0,0.6
550.0,0.206,0.073,5.002,4.57,-2.927,8.0,0.6
552.0,0.205,-0.018,7.389,8.56,0.106,9.0,0.61
554.0,0.215,0.201,2.649,2.5,-2.009,5.0,0.6
556.0,0.218,0.047,4.83,4.49,-0.992,6.0,0.6
558.0,0.215,-0.052,7.389,7.2,-1.352,9.0,0.59
560.0,0.213,-0.045,7.389,10.52,1.031,10.0,0.6
562.0,0.211,-0.038,7.389,8.02,-1.429,10.0,0.61
564.0,0.209,-0.032,7.389,6.73,-2.73,10.0,0.61
566.0,0.208,-0.027,7.389,6.0,-2.496,9.0,0.6
568.0,0.207,-0.023,7.389,8.55,-1.982,11.0,0.59
570.0,0.206,-0.02,7.389,8.61,0.191,9.0,0.62
572.0,0.205,-0.017,7.389,10.86,-1.449,13.0,0.64
574.0,0.204,-0.014,7.389,10.42,-2.881,14.0,0.64
576.0,0.203,-0.012,7.389,9.27,-3.098,13.0,0.63
578.0,0.203,-0.01,7.389,9.17,-1.267,11.0,0.61
580.0,0.202,-0.009,7.389,11.94,-1.497,14.0,0.61
582.0,0.202,-0.007,7.389,12.66,-0.794,14.0,0.61
584.0,0.202,-0.006,7.389,8.16,-3.251,12.0,0.62
586.0,0.202,-0.005,7.389,5.57,-3.854,10.0,0.61
588.0,0.217,0.317,1.803,0.16,-3.361,4.0,0.6
590.0,0.215,-0.052,7.389,6.47,-0.952,8.0,0.62
592.0,0.213,-0.044,7.389,6.49,-1.952,9.0,0.61
594.0,0.211,-0.038,7.389,15.12,-0.288,16.0,0.62
596.0,0.209,-0.032,7.389,11.72,-0.689,13.0,0.62
598.0,0.208,-0.027,7.389,11.49,-0.96,13.0,0.61
600.0,0.207,-0.023,7.389,9.61,0.108,10.0,0.6
